"hotel_name","price","dates","duration","rating","departure_airport","scraped_at","url","image_url","offer_url"
"Amarina Queen Resort","5540.0","06.06.2026 - 13.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:55.698848+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2024/07/amarina-queen-resort.jpg","https://fly.pl/wycieczka/egipt,marsa-alam,c/amarina-queen-resort-12/phBUMpFMXIrJtZAPx-2KzyAAoguGpm1udahtSKGC-ZJV51386zZeaUJTWOHJXV4JjwaLAqBE9SRVgwy4Pg0AZIpCtQQVjPAWACagZESS4yLjFyNpsBFQcXAFwDWAVWAkDKBhGAFF2DEE8kXpnYAVO8FFIAS7EvYQBM5Yw6IJH6lwkNAAISYwECDGdJa4A/?operator=OREX&adults=2&children=2020-12-10&nsv=1&objectId=225253&transport=accommodation_flight&departureDate=2026-06-06&returnDate=2026-06-13&departureLocation=Warszawa+-+Modlin%2CWarszawa+-+Radom%2CWarszawa&opt=delta&catering=all_inclusive"
"Amarina Queen Resort","5540.0","06.06.2026 - 13.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:55.767711+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2024/07/amarina-queen-resort.jpg","https://fly.pl/wycieczka/egipt,marsa-alam,c/amarina-queen-resort-12/phBUMpFMXIrJtZAPx-2KzyAAoguGpm1udahtSKGC-ZJV51386zZeaUJTWOHJXV4JjwaLAqBE9SRVgwy4Pg0AZIpCtQQVjPAWACagZESS4yLjFyNpsBFQcXAFwDWAVWAkDKBhGAFF2DEE8kXpnYAVO8FFIAS7EvYQBM5Yw6IJH6lwkNAAISYwECDGdJa4A/?operator=OREX&adults=2&children=2020-12-10&nsv=1&objectId=225253&transport=accommodation_flight&departureDate=2026-06-06&returnDate=2026-06-13&departureLocation=Warszawa+-+Modlin%2CWarszawa+-+Radom%2CWarszawa&opt=delta&catering=all_inclusive"
"Dream Lagoon & Aqua Park Resort (ex. Floriana Dream Lagoon)","5643.0","06.06.2026 - 13.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:55.919154+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/11/Future-Dream-Lagoon-ex.-Floriana-Dream-Lagoon-fly-pl.jpg","https://fly.pl/wycieczka/egipt,marsa-alam,c/floriana-dream-lagoon/pFsFK3RY4-NdZDFCWO0hhoAAogCBBrYiyNM3YbPxv6UmQ9NM6zZeaUJTWOHJXV4JjwaLAqBE9SRVgwy4Pg0AZIiyxQQVjPAWACagYwWi4yLjFyNpsBFQcXAFwDWAVWAkDKBhHfDl2kFU8kXpnYAVO8FFIAS7EvYQBM5Yw6IJH6lwkNAAISYwECDSWHwbo/?operator=OREX&adults=2&children=2020-12-10&nsv=1&objectId=30943&transport=accommodation_flight&departureDate=2026-06-06&returnDate=2026-06-13&departureLocation=Warszawa+-+Modlin%2CWarszawa+-+Radom%2CWarszawa&opt=delta&catering=all_inclusive"
"Parrotel Lagoon Resort","5690.0","14.06.2026 - 21.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:56.080313+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2020/10/Parrotel-Lagoon-Resort.jpg","https://fly.pl/wycieczka/egipt,sharm-el-sheikh,szarm-el-szejk/parrotel-lagoon-resort-14/pbN5NY_VP2Y-5qMJTfXZB_AAogNH5LSEH1__C2ZV5kjcNQeFxRsiItOkZcPLzNjjqE-S0qBEpPSU4wy4Pg0AZIuixQAViPA2ACagJBSXIfHBGxHLkEjpECqwRyG_jbIxjJpQEBzvGrewIAYwECDZNKhbo/ofertasv/?filter[tourOperator]=JOIN&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1"
"Amarina Jannah Resort Aquapark","5828.0","06.06.2026 - 13.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:56.252570+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2023/04/Amarina-Jannah-Resort-Aquapark.jpg","https://fly.pl/wycieczka/egipt,marsa-alam,port-ghalib/amarina-jannah-resort-aquapark-15/pxBpXmeQGKUio6abzhq9XSAAog2zqJQW51OeGuzlnsPMbZ-M6zZeaUJTWOHJXV4JjwaLAqBE9SRVgwy4Pg0AZIxC1QQVjPAWACagZETy4yLjFyNpsBFQcXAFwDWAVWAkDKBhH5FF2KD08kXpnYAVO8FFIAS7EvYQBM5Yw6IJH6lwkNAAISYwECDBZMNSQ/?operator=OREX&adults=2&children=2020-12-10&nsv=1&objectId=224141&transport=accommodation_flight&departureDate=2026-06-06&returnDate=2026-06-13&departureLocation=Warszawa+-+Modlin%2CWarszawa+-+Radom%2CWarszawa&opt=delta&catering=all_inclusive"
"Royal Brayka Beach Resort (ex Zee Brayka)","5898.0","06.06.2026 - 13.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:56.464901+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/07/Royal-Brayka-Resort.jpg","https://fly.pl/wycieczka/egipt,marsa-alam,c/royal-brayka-resort/phRBfghS6AR-6wPMD5hOL_AAogdMa3WKIs4Zf7v7qDubdf6hdj7gtn7bkxRJ6mk9Br-vwqBFZJVFgwy4Pg0AZIii5QQVjPAWACckAaABUHFwBcA1gFQI8DW7-DAV6-fFK8FFMAS7EvYQBM36o5DZfcmAkgAFGUjr_23wFPj5ANXZz4r_klAg5jAQINWWRgTw/ofertasv/?filter[tourOperator]=VITX&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1"
"Casa Mare Resort (ex. Royal Tulip Beach Resort)","5898.0","06.06.2026 - 13.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:56.626912+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/12/Casa-Mare-Resort.jpg","https://fly.pl/wycieczka/egipt,marsa-alam,c/royal-tulip-beach-resort/pbjHPFbtsE6FWsOqh3E1_VAAogaw6YxUsiJarahpgFgjEWjRdj7gtn7bkxRJ6mk9Br-vwqBFZJVFgwy4Pg0AZIii5QQVjPAWACckAaABUHFwBcA1gFQI8DW5eFAV7melK8FFMAS7EvYQBMn5c8DdfvlQkgAFGxoMX23wFP8v0GXZz4r_klAg5jAQINU70Jgg/ofertasv/?filter[tourOperator]=VITX&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1"
"Rewaya Inn Resort (ex. Hawaii Paradise Aqua Park Resort)","5990.0","02.06.2026 - 09.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:56.791618+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2020/09/Hawaii-Paradise-Aqua-Park-Resort.jpg","https://fly.pl/wycieczka/egipt,hurghada,c/hawaii-paradise-aqua-park-resort-14/pB1aY6TP2hgyWuKg_14YqIAAogP3s90nhlj76AD-_LpPk2E4P7TRBmZZ4ACnGqumCmf-YqBEpPSU4wy4Pg0AZI5i5QAVhvYAJqAkFJch8cEdEauQSo8wKrBBEYuvgeG7RxAca8h5QBAgBjAQIN7GRB2Q/ofertasv/?filter[tourOperator]=JOIN&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1"
"Stella Gardens Resort & Spa (ex Stella Di Mare Gardens)","6131.0","16.06.2026 - 23.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:56.947193+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/10/Stella-Di-Mare-Gardens-Resort-Spa.jpg","https://fly.pl/wycieczka/egipt,hurghada,makadi-bay/stella-makadi-garden/pbz7S-CAqHt1RB84HZ5hNvAAogTEikdu3Az2nB80RUmh7gQMD2OpZO2AXm95eQ1wXSy3QqBEpPSU4wy4Pg0AZI8y9QAVi_A2ACagJBSXIfHBGIG7kEzscCqwQ-GP6tHxuZbQHZjraUAQIAYwECDafPiGw/ofertasv/?filter[tourOperator]=JOIN&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1"
"AMC Royal Hotel & Spa (ex. AMC Azur Resort)","6169.0","11.06.2026 - 18.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:57.118800+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/07/AMC-Royal-Resort.jpg","https://fly.pl/wycieczka/egipt,hurghada,c/amc-royal-ex-amc-azur-resort/pK7LDdRSLerJL0W9o3y0MoAAog8ddAR1E5KhS85JGe_ccJWiRYyIS-iNWB2qo_7y_LlVQqBFJOQlcwy4Pg0AZImTBQAVjHAmACcgYCDGMBAgXlp9gy/ofertasv/?filter[tourOperator]=RNBW&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1"
"IL Mercato Splash Aqua Park","6176.0","14.06.2026 - 21.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:57.371421+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/07/Il-Mercato-Hotel-Spa-Sharm-El-Sheikh.jpg","https://fly.pl/wycieczka/egipt,sharm-el-sheikh,c/iberotel-il-mercato/pn-Z2cJayYVR2am0dkwJ9zAAogfeC-O4J3InQstsTeD7WDuFxRsiItOkZcPLzNjjqE-S0qBEpPSU4wy4Pg0AZIoDBQAViPA2ACagJBSXIgHBHvG7kE0JECqwRyG4CyJhiDswIBgJGClwECAGMBAgvygTP-/ofertasv/?filter[tourOperator]=JOIN&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1"
"Sea Star Beau Rivage","6214.0","09.06.2026 - 16.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:57.684331+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/07/Sea-Star-Beau-Rivage-fly-pl.jpg","https://fly.pl/wycieczka/egipt,hurghada,c/sea-star-beau-rivage/pxo8slBDZH5wCCBDd0a5WQAAogJfwJI-nCCvJRPq502ZNUoOA1VenNBQF7XO4_J7SyQn0qBEpPSU4wy4Pg0AZIxjBQAViXAmACagJBSXIfHBHrGrkE6scCqwQ-GPeqHxvJbAH95IWUAQIAYwECDIRNXWM/ofertasv/?filter[tourOperator]=JOIN&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1"
"Sentido Akassia Beach (ex. LTI Akassia Beach)","6228.0","06.06.2026 - 13.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:57.959749+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/09/Sentido-Akassia-Beach.jpg","https://fly.pl/wycieczka/egipt,marsa-alam,c/lti-akassia-beach-2/pTiWehZGhLo3agTGqPmKW0AAogi1b5V9R0ubUc5EuM9N4FaM6zZeaUJTWOHJXV4JjwaLAqBE9SRVgwy4Pg0AZI1DBQQVjPAWACagYxUy4yLjFyNZsBFQcXAFwDWAVWAhEmQKQGXYMkTyRemdgBU7wUUgBLsS9hAEzljDogkfqXCQ0AAhJjAQINSrjjvg/?operator=OREX&adults=2&children=2020-12-10&nsv=1&objectId=576&transport=accommodation_flight&departureDate=2026-06-06&returnDate=2026-06-13&departureLocation=Warszawa+-+Modlin%2CWarszawa+-+Radom%2CWarszawa&opt=delta&catering=all_inclusive"
"Novotel Marsa Alam","6305.0","06.06.2026 - 13.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:58.085286+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/09/Novotel-Marsa-Alam.jpg","https://fly.pl/wycieczka/egipt,marsa-alam,c/novotel-marsa-alam/ppLLZNQpPCXVF-psBKuGezAAog9Eq_kXUAzHxGnYdCPd3O7M6zZeaUJTWOHJXV4JjwaLAqBE9SRVgwy4Pg0AZIoTFQQVjPAWACagZENi4yLjFyNZsBFQcXAFwDWAVWAhEsQJ4GXYMkTyRemdgBU7wUUgBLsS9hAEzljDogkfqXCQ0AAhJjAQILltlcYA/?operator=OREX&adults=2&children=2020-12-10&nsv=1&objectId=174947&transport=accommodation_flight&departureDate=2026-06-06&returnDate=2026-06-13&departureLocation=Warszawa+-+Modlin%2CWarszawa+-+Radom%2CWarszawa&opt=delta&catering=all_inclusive"
"Royal Lagoons Aqua (ex. Premium Blue)","6373.0","16.06.2026 - 23.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:58.262568+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/10/Royal-Lagoons-Aqua.jpg","https://fly.pl/wycieczka/egipt,hurghada,c/premium-blue-lagoon-ex-pyramisa-blue-lagoon/pc_k3zqzI7FVWW2IWFC0mHAAogdF9Li3x_sSiY8O-ZXblSB8D2OpZO2AXm95eQ1wXSy3QqBEpPSU4wy4Pg0AZI5TFQAVi_A2ACagJBSXIgHBHjGrkE88cCqwQ-G6GrIxiTogEB7ZeElAECAGMBAg29DfzJ/ofertasv/?filter[tourOperator]=JOIN&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1"
"Swissotel Resort El Quseir","6413.0","06.06.2026 - 13.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:58.375527+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/02/RADISSON-BLU-m.jpg","https://fly.pl/wycieczka/egipt,marsa-alam,al-kusajr/radisson-blu-resort-el-quseir/pG1wPNnWB2jEXM87Gq9w9bAAogUznc4aYMLrrNJL1bvwg8nM6zZeaUJTWOHJXV4JjwaLAqBE9SRVgwy4Pg0AZIjTJQQVjPAWACagZESS4yLjFyNpsBFQcXAFwDWAVWAkDKBhHtFV2WDk8kXpnYAVO8FFIAS7EvYQBM5Yw6IJH6lwkNAAISYwECC9EXu4o/?operator=OREX&adults=2&children=2020-12-10&nsv=1&objectId=2892&transport=accommodation_flight&departureDate=2026-06-06&returnDate=2026-06-13&departureLocation=Warszawa+-+Modlin%2CWarszawa+-+Radom%2CWarszawa&opt=delta&catering=all_inclusive"
"Concorde Moreen Beach Resort & Spa","6426.0","06.06.2026 - 13.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:58.489908+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2014/07/Concorde-Moreen-Beach-Resort-Spa-fly-pl.jpg","https://fly.pl/wycieczka/egipt,marsa-alam,c/concorde-moreen-beach-spa-resort/pg_Gghig5-Y2NodmgQuiHpAAogRv_RICAUWApNhZrT6PeqL86zZeaUJTWOHJXV4JjwaLAqBE9SRVgwy4Pg0AZImjJQQVjPAWACagZESS4yLjFyNpsBFQcXAFwDWAVWAkDKBhHuDV2VFk8kXpnYAVO8FFIAS7EvYQBM5Yw6IJH6lwkNAAISYwECCxoBOoI/?operator=OREX&adults=2&children=2020-12-10&nsv=1&objectId=76703&transport=accommodation_flight&departureDate=2026-06-06&returnDate=2026-06-13&departureLocation=Warszawa+-+Modlin%2CWarszawa+-+Radom%2CWarszawa&opt=delta&catering=all_inclusive"
"Radisson Individuals Marina Port Ghalib (ex. Sunrise Marina Resort)","6467.0","02.06.2026 - 09.06.2026","8 dni","","Warszawa%20-%20Modlin","2026-05-28T08:51:58.603587+00:00","https://fly.pl/szukaj-wycieczek/?filter[dest]=11:&filter[hotelids]=&filter[cityids]=0&filter[cregids]=&filter[ofrType]=&filter[addObjType]=&filter[whenFrom]=28-05-2026&filter[whenTo]=30-06-2026&filter[duration]=7:10&filter[from]=Warszawa%20-%20Modlin,Warszawa%20-%20Radom,Warszawa&filter[person]=2&filter[child]=1&filter[price]=4766:9000&filter[PriceFrom]=4766&filter[PriceTo]=9000&filter[addCategory]=50&filter[addCatering]=1&filter[addMisc]=0&filter[addTransport]=F&filter[fp]=1&order_by=ofr_price&filter[tourOperator]=0&filter[childAge][1]=20201210","https://fly.pl/cdn/photo/assets/uploads/582/278/2015/04/RADISSON-INDIVIDUALS-MARINA.jpg","https://fly.pl/wycieczka/egipt,marsa-alam,port-ghalib/rehana-port-ghalib-resort/p4mpSmh6wECiIpiUjOmaJJAAogjA7KyAJgUN0HoWRg9R3ZlLJXrSJaeKJoSTk1OvOOZokqBFJOQlcwy4Pg0AZIwzJQAVhvYAJyBgIOYwECBSJYfl4/ofertasv/?filter[tourOperator]=RNBW&filter%5Bperson%5D=2&filter%5BchildAge%5D%5B1%5D=20201210&filter%5Bchild%5D=1"
